FOODSTORE_ID,FOODSTORE_NAME,FOODCATEGORY_CODE,FOODCATEGORY,ADDRESS,WORKING_TIME,IMG_URL,RATE,LATITUDE,LONGITUDE,AREA,TAG_STORE,TAG_GENDER,TAG_AGE,TAG_ID
10165519,남도사계고운님,32,해산물,서울 강남구 삼성로81길 22 한정빌딩 2층 201호,매일 11:30 ~ 22:00,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F1170A9434ED34BE01D,3.8,127.0558941,37.5043294,대치동,가격,남,10대,39
11463001,알부자 강남본점,32,해산물,서울 강남구 강남대로98길 14 재상빌딩 12층,월~금 10:00 ~ 23:00 ,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F190E6C374F580DDD32,3.4,127.0278579,37.500705,역삼동,맛,여,10대,39
23182882,오징어풍경,32,해산물,서울 강남구 테헤란로64길 26,매일 11:30 ~ 02:00,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F6D989453D8644B7D8AB1F52FAEB35649,3.4,127.0515433,37.5031502,대치동,맛,여,30대,39
25046575,뱃고동,32,해산물,서울 강남구 언주로172길 54 지하 1층,매일 11:30 ~ 22:00,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F70CDA1D3908D4B4AB903B8518FBCB700,3.5,127.0380291,37.5268466,신사동,가격,남,40대,39
699742929,청초수물회섭국 강남점,32,해산물,서울 강남구 압구정로28길 24,매일 11:30 ~ 22:30 ,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FADD470F0760C46E8A5F237FE03949D6D,3.6,127.027475,37.5249851,신사동,서비스,여,40대,39
1348944575,강남어시장,32,해산물,서울 강남구 강남대로 512 5층,매일 17:00 ~ 03:00,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F7A82E0EF883F4E499407BC8169DA1BCE,2.6,127.0233187,37.5079571,논현동,분위기,여,60대이상,39
499958291,게방식당,32,"해산물(게,대게)",서울 강남구 선릉로131길 17 1층,월~토 11:30 ~ 21:00 ,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FFB15A3ECAF5C45A2B2FCC0034A346302,3.1,127.0394416,37.517271,논현동,주차,여,60대이상,39
1777540958,크래버대게나라 강남점,32,"해산물(게,대게)",서울 강남구 언주로 620 현대인텔렉스빌딩 1층,매일 11:30 ~ 23:00,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FDE5F2CEFC3644D55B1CCEDDED08F4049,4.1,127.0362797,37.5115596,논현동,맛,남,40대,39
8203088,금수복국 대치점,32,해산물(복어),서울 강남구 테헤란로78길 16 2층,매일 00:00 ~ 24:00,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F1C2C10FAB7D4485594708DE226C2F027,3,127.0553532,37.5050639,대치동,서비스,남,10대,39
8203089,금수복국 압구정점,32,해산물(복어),서울 강남구 언주로 821 금수빌딩 23층,매일 00:00 ~ 24:00,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FBDD31D34AE2B45AE9109873479399B2A,3.5,127.0327996,37.5235421,신사동,가격,남,10대,39
